HQ ID,RestaurantName,LocationAddress,PHex,SHex,restaurantWebsiteURL,cnOrderingURL,androidAppLink,iOSAppLink,linksenseLink,mostrecentOrderLink
8042,Irving St. Kitchen,"701 Northwest 13th Avenue, Portland, OR 97209",#333333,#000000,http://www.irvingstreetkitchen.com/,https://ordering.chownow.com/order/8042/locations/,https://play.google.com/store/apps/details?id=com.chownow.irvingstreetchicken,https://itunes.apple.com/us/app/irving-street-chicken/id1228932222?mt=8,http://lksn.se/ISC,https://ordering.chownow.com/order/8042/locations/10803
8689,Holly Crab,"1098 Commonwealth Ave, Boston, MA 02215",#EB1C24,#F5F5F5,http://hollycrab.com/,https://ordering.chownow.com/order/8689/locations/,https://play.google.com/store/apps/details?id=com.chownow.holycrab,https://itunes.apple.com/us/app/holy-crab/id1256024720?mt=8,http://lksn.se/holycrab,https://ordering.chownow.com/order/8689/locations/11750
8689,Holly Crab,"1098 Commonwealth Ave, Boston, MA 02215",#EB1C24,#F5F5F5,http://hollycrab.com/,https://ordering.chownow.com/order/8689/locations/,https://play.google.com/store/apps/details?id=com.chownow.holycrab,https://itunes.apple.com/us/app/holy-crab/id1256024720?mt=8,http://lksn.se/holycrab,https://ordering.chownow.com/order/8689/locations/11750
8689,Holly Crab,"1098 Commonwealth Ave, Boston, MA 02215",#EB1C24,#F5F5F5,http://hollycrab.com/,https://ordering.chownow.com/order/8689/locations/,https://play.google.com/store/apps/details?id=com.chownow.holycrab,https://itunes.apple.com/us/app/holy-crab/id1256024720?mt=8,http://lksn.se/holycrab,https://ordering.chownow.com/order/8689/locations/11750
8864,Club Diner,"20 N Black Horse Pike, Bellmawr, NJ 08031",#791615,#f5f5f5,http://www.theclubdiner.com/,https://ordering.chownow.com/order/8864/locations/,https://play.google.com/store/apps/details?id=com.chownow.clubdiner,https://itunes.apple.com/us/app/club-diner/id1282159723?mt=8,http://lksn.se/clubdiner,https://ordering.chownow.com/order/8864/locations/12013
8864,Club Diner,"20 N Black Horse Pike, Bellmawr, NJ 08031",#791615,#f5f5f5,http://www.theclubdiner.com/,https://ordering.chownow.com/order/8864/locations/,https://play.google.com/store/apps/details?id=com.chownow.clubdiner,https://itunes.apple.com/us/app/club-diner/id1282159723?mt=8,http://lksn.se/clubdiner,https://ordering.chownow.com/order/8864/locations/12013
8864,Club Diner,"20 N Black Horse Pike, Bellmawr, NJ 08031",#791615,#f5f5f5,http://www.theclubdiner.com/,https://ordering.chownow.com/order/8864/locations/,https://play.google.com/store/apps/details?id=com.chownow.clubdiner,https://itunes.apple.com/us/app/club-diner/id1282159723?mt=8,http://lksn.se/clubdiner,https://ordering.chownow.com/order/8864/locations/12013
8864,Club Diner,"20 N Black Horse Pike, Bellmawr, NJ 08031",#791615,#f5f5f5,http://www.theclubdiner.com/,https://ordering.chownow.com/order/8864/locations/,https://play.google.com/store/apps/details?id=com.chownow.clubdiner,https://itunes.apple.com/us/app/club-diner/id1282159723?mt=8,http://lksn.se/clubdiner,https://ordering.chownow.com/order/8864/locations/12013
8864,Club Diner,"20 N Black Horse Pike, Bellmawr, NJ 08031",#791615,#f5f5f5,http://www.theclubdiner.com/,https://ordering.chownow.com/order/8864/locations/,https://play.google.com/store/apps/details?id=com.chownow.clubdiner,https://itunes.apple.com/us/app/club-diner/id1282159723?mt=8,http://lksn.se/clubdiner,https://ordering.chownow.com/order/8864/locations/12013
8864,Club Diner,"20 N Black Horse Pike, Bellmawr, NJ 08031",#791615,#f5f5f5,http://www.theclubdiner.com/,https://ordering.chownow.com/order/8864/locations/,https://play.google.com/store/apps/details?id=com.chownow.clubdiner,https://itunes.apple.com/us/app/club-diner/id1282159723?mt=8,http://lksn.se/clubdiner,https://ordering.chownow.com/order/8864/locations/12013
